Trendanalyse
Beregningsdato 2021-08-19
Udviklingen i verdensmarkedsindekset fra 2021-07-22 til 2021-08-19 : 1.4%
.
Relativ vækst for de forskellige indeks i forhold til MSCI World (verdensmarkedsindekset).
Kolonne 2 er beregnet relative vækst for den nye måned.
Kolonne 3 er realiseret vækst for de foregangne 4 uger (som reference)
Kolonne 4 er realiseret vækst for den foregangne uge (som reference)
.
ETF;Beregnet;Real-4;Real-1
Sparvinvest-index-USA-Growth indeksfond;2,7808945477625393;0,552333609500133;-0,8172160174339416
Xtrackers MSCI World Information Technology UCITS ETF 1C (XDWT);2,3356978688684498;1,0267338240991908;-0,3630110813909182
Xtrackers MSCI World Health Care UCITS ETF 1C (XDWH);1,0930939497501226;4,890840346383718;2,393142040719143
i-shares-automation-robotics;1,0300086065475762;1,0143090019924195;-2,7210884353741305
Lyxor STOXX Europe 600 Healthcare UCITS ETF - Acc;0,769516271889712;5,90047009239747;2,1100343857455517
Nordnet Danmark A;0,681481542222385;5,549865331360726;2,0801995817588237
iShares Core S&P 500 UCITS ETF USD (Acc) (SXR8);0,5127059171553947;1,7255590119911846;-0,7187897345408256
Nordnet Indeksirahasto Suomi;0,4413612672048073;2,4302383164829466;-0,5355048177063004
ark-innovation-etf Etf;0,28090693321567706;-5,415339377603534;-3,5803497085761804
iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR (Acc ;0,07024311365382996;3,628117913832196;-0,10928961748633004
iShares worls index acc;0,0;1,3927968486212583;-1,2171386277036178
iShares MSCI India UCITS ETF USD (Acc) (QDV5);-0,08277571311427945;4,01332223147377;0,5797101449275477
Nordnet Indexfond Sverige;-0,12795457972110658;3,3480070948709084;-1,143685991824539
hangins-tech-megatrend;-0,2727358671437692;-0,8635831381733183;-3,2290327189598567
i-shares-healthcare-innovation;-0,6324592191818343;-3,569814731134213;-1,2608444187391599
lg-battery-value-chain;-0,7139196724035637;-0,8788936280212045;-6,418547895057969
ARK Fintech Innovation ETF (ARKF);-1,0296797672266917;-4,917726252804777;-2,6048649683968583
i-shares-global-clean;-1,0970447639663297;-1,0998918139199398;-1,0820559062218127
Xtrackers MSCI Europe Small Cap UCITS ETF 1C (DX2J);-1,1858491790261283;2,837589717910194;-1,2976610060877913
ARK Genomic Revolution ETF (ARKG);-1,5935212531019771;-6,922717721223437;-3,0166646393382623
Xtrackers MSCI Singapore UCITS ETF 1C (XBAS);-1,9566929473062173;0,4842615012106588;-1,6442008591319834
Gabelli Global Small and Mid Cap Value Trust (The);-2,4869694921086904;0,190839694656475;-2,957486136783738
ARK Autonomous Technology & Robotics ETF (ARKQ);-2,566026990379744;-2,9193468579910897;-2,931354359925775
Nordnet Indeksfond Norge;-2,5698957297160474;2,628261794846587;-0,1306283702517952
Xtrackers MSCI Philippines UCITS ETF 1C (XPQP);-2,9111734738446375;2,16356555603634;2,637298942182298
xtrackers-msci-emerging Etf;-2,922598476944817;-5,935512438612022;-3,957995109019552
iShares S&P U.S. Banks UCITS ETF USD (Acc) (IUS2);-3,8529074168266475;3,0472636815920495;-5,368360936607641
Xtrackers MSCI Malaysia UCITS ETF 1C (XCS3);-4,598051555974702;-0,5559795050692262;1,0747922437672974
xtrackers-msci-china Eft;-5,30878783173431;-13,579746835443052;-6,589316987740823
Xtrackers MSCI Thailand UCITS ETF 1C (XCS4);-5,358389595802464;0,04248539564526421;1,926198463369766
